Input:
1.0 1.0 1.0
1.5 2.0 1.11803398875
2.0 1.5 1.11803398875

Output:
N: 100 | Area: 0.875
N: 150 | Area: 0.958333
N: 200 | Area: 0.96875
N: 250 | Area: 0.975
N: 300 | Area: 0.945833
N: 350 | Area: 0.978571
N: 400 | Area: 0.9375
N: 450 | Area: 0.938889
N: 500 | Area: 0.955
N: 550 | Area: 0.920455
N: 600 | Area: 0.89375
N: 650 | Area: 0.917308
N: 700 | Area: 0.935714
N: 750 | Area: 0.98
N: 800 | Area: 0.920313
N: 850 | Area: 0.973529
N: 900 | Area: 0.938889
N: 950 | Area: 0.95
N: 1000 | Area: 0.9475
N: 1050 | Area: 0.929762
N: 1100 | Area: 0.920455
N: 1150 | Area: 0.918478
N: 1200 | Area: 0.920833
N: 1250 | Area: 0.972
N: 1300 | Area: 0.921154
N: 1350 | Area: 0.94537
N: 1400 | Area: 0.945536
N: 1450 | Area: 0.963793
N: 1500 | Area: 0.9175
N: 1550 | Area: 0.944355
N: 1600 | Area: 0.932813
N: 1650 | Area: 0.920455
N: 1700 | Area: 0.944853
N: 1750 | Area: 0.955714
N: 1800 | Area: 0.915972
N: 1850 | Area: 0.958108
N: 1900 | Area: 0.950658
N: 1950 | Area: 0.955128
N: 2000 | Area: 0.953125
N: 2050 | Area: 0.935976
N: 2100 | Area: 0.95
N: 2150 | Area: 0.94186
N: 2200 | Area: 0.923295
N: 2250 | Area: 0.935556
N: 2300 | Area: 0.92663
N: 2350 | Area: 0.942021
N: 2400 | Area: 0.953646
N: 2450 | Area: 0.934184
N: 2500 | Area: 0.9305
N: 2550 | Area: 0.940196
N: 2600 | Area: 0.938942
N: 2650 | Area: 0.954245
N: 2700 | Area: 0.943056
N: 2750 | Area: 0.942727
N: 2800 | Area: 0.941071
N: 2850 | Area: 0.961404
N: 2900 | Area: 0.946552
N: 2950 | Area: 0.952542
N: 3000 | Area: 0.944167
N: 3050 | Area: 0.953279
N: 3100 | Area: 0.927419
N: 3150 | Area: 0.940476
N: 3200 | Area: 0.960938
N: 3250 | Area: 0.948077
N: 3300 | Area: 0.948864
N: 3350 | Area: 0.93806
N: 3400 | Area: 0.943382
N: 3450 | Area: 0.950725
N: 3500 | Area: 0.942143
N: 3550 | Area: 0.94331
N: 3600 | Area: 0.931597
N: 3650 | Area: 0.943493
N: 3700 | Area: 0.942905
N: 3750 | Area: 0.949
N: 3800 | Area: 0.940132
N: 3850 | Area: 0.925649
N: 3900 | Area: 0.929487
N: 3950 | Area: 0.946203
N: 4000 | Area: 0.943125
N: 4050 | Area: 0.954938
N: 4100 | Area: 0.960976
N: 4150 | Area: 0.937651
N: 4200 | Area: 0.928869
N: 4250 | Area: 0.948824
N: 4300 | Area: 0.936628
N: 4350 | Area: 0.94569
N: 4400 | Area: 0.952841
N: 4450 | Area: 0.940169
N: 4500 | Area: 0.925556
N: 4550 | Area: 0.949451
N: 4600 | Area: 0.945924
N: 4650 | Area: 0.943817
N: 4700 | Area: 0.944681
N: 4750 | Area: 0.949211
N: 4800 | Area: 0.951042
N: 4850 | Area: 0.950515
N: 4900 | Area: 0.939796
N: 4950 | Area: 0.962121
N: 5000 | Area: 0.947
N: 5050 | Area: 0.952228
N: 5100 | Area: 0.949755
N: 5150 | Area: 0.945146
N: 5200 | Area: 0.934615
N: 5250 | Area: 0.946905
N: 5300 | Area: 0.94434
N: 5350 | Area: 0.944159
N: 5400 | Area: 0.949074
N: 5450 | Area: 0.942661
N: 5500 | Area: 0.931136
N: 5550 | Area: 0.936036
N: 5600 | Area: 0.93683
N: 5650 | Area: 0.942035
N: 5700 | Area: 0.941886
N: 5750 | Area: 0.935435
N: 5800 | Area: 0.932328
N: 5850 | Area: 0.945085
N: 5900 | Area: 0.94428
N: 5950 | Area: 0.931303
N: 6000 | Area: 0.947292
N: 6050 | Area: 0.939876
N: 6100 | Area: 0.945492
N: 6150 | Area: 0.929268
N: 6200 | Area: 0.935484
N: 6250 | Area: 0.9514
N: 6300 | Area: 0.938294
N: 6350 | Area: 0.953543
N: 6400 | Area: 0.956836
N: 6450 | Area: 0.946318
N: 6500 | Area: 0.941731
N: 6550 | Area: 0.952672
N: 6600 | Area: 0.933902
N: 6650 | Area: 0.942857
N: 6700 | Area: 0.941791
N: 6750 | Area: 0.949815
N: 6800 | Area: 0.942647
N: 6850 | Area: 0.942701
N: 6900 | Area: 0.952717
N: 6950 | Area: 0.939928
N: 7000 | Area: 0.948036
N: 7050 | Area: 0.942376
N: 7100 | Area: 0.93662
N: 7150 | Area: 0.943531
N: 7200 | Area: 0.955903
N: 7250 | Area: 0.955345
N: 7300 | Area: 0.946062
N: 7350 | Area: 0.938265
N: 7400 | Area: 0.945777
N: 7450 | Area: 0.946812
N: 7500 | Area: 0.949
N: 7550 | Area: 0.940728
N: 7600 | Area: 0.935033
N: 7650 | Area: 0.937745
N: 7700 | Area: 0.935227
N: 7750 | Area: 0.947097
N: 7800 | Area: 0.942147
N: 7850 | Area: 0.944427
N: 7900 | Area: 0.952057
N: 7950 | Area: 0.936164
N: 8000 | Area: 0.940781
N: 8050 | Area: 0.941615
N: 8100 | Area: 0.949074
N: 8150 | Area: 0.942945
N: 8200 | Area: 0.936585
N: 8250 | Area: 0.94
N: 8300 | Area: 0.937952
N: 8350 | Area: 0.942066
N: 8400 | Area: 0.943155
N: 8450 | Area: 0.945118
N: 8500 | Area: 0.953382
N: 8550 | Area: 0.939912
N: 8600 | Area: 0.93561
N: 8650 | Area: 0.949277
N: 8700 | Area: 0.946264
N: 8750 | Area: 0.936571
N: 8800 | Area: 0.944034
N: 8850 | Area: 0.938559
N: 8900 | Area: 0.940309
N: 8950 | Area: 0.94581
N: 9000 | Area: 0.945417
N: 9050 | Area: 0.948757
N: 9100 | Area: 0.943269
N: 9150 | Area: 0.935109
N: 9200 | Area: 0.951495
N: 9250 | Area: 0.941351
N: 9300 | Area: 0.94086
N: 9350 | Area: 0.949332
N: 9400 | Area: 0.944016
N: 9450 | Area: 0.939947
N: 9500 | Area: 0.944474
N: 9550 | Area: 0.936911
N: 9600 | Area: 0.946875
N: 9650 | Area: 0.94728
N: 9700 | Area: 0.933634
N: 9750 | Area: 0.944872
N: 9800 | Area: 0.952934
N: 9850 | Area: 0.938832
N: 9900 | Area: 0.943813
N: 9950 | Area: 0.950503
N: 10000 | Area: 0.941375
N: 10050 | Area: 0.94092
N: 10100 | Area: 0.941584
N: 10150 | Area: 0.926601
N: 10200 | Area: 0.928676
N: 10250 | Area: 0.941585
N: 10300 | Area: 0.941141
N: 10350 | Area: 0.94372
N: 10400 | Area: 0.938582
N: 10450 | Area: 0.944617
N: 10500 | Area: 0.935952
N: 10550 | Area: 0.946209
N: 10600 | Area: 0.949882
N: 10650 | Area: 0.942254
N: 10700 | Area: 0.939019
N: 10750 | Area: 0.94407
N: 10800 | Area: 0.956366
N: 10850 | Area: 0.938825
N: 10900 | Area: 0.939335
N: 10950 | Area: 0.946233
N: 11000 | Area: 0.943182
N: 11050 | Area: 0.941742
N: 11100 | Area: 0.941667
N: 11150 | Area: 0.940022
N: 11200 | Area: 0.949107
N: 11250 | Area: 0.941333
N: 11300 | Area: 0.945575
N: 11350 | Area: 0.945264
