Size: 500 | Time: 169 287 425
Size: 600 | Time: 179 302 428
Size: 700 | Time: 200 329 470
Size: 800 | Time: 240 380 538
Size: 900 | Time: 268 428 708
Size: 1000 | Time: 354 594 853
Size: 1100 | Time: 370 609 866
Size: 1200 | Time: 386 635 913
Size: 1300 | Time: 506 790 1104
Size: 1400 | Time: 442 782 1112
Size: 1500 | Time: 484 775 1234
Size: 1600 | Time: 743 1272 1869
Size: 1700 | Time: 836 1317 1876
Size: 1800 | Time: 704 1044 1431
Size: 1900 | Time: 1107 1634 2269
Size: 2000 | Time: 690 1148 1727
Size: 2100 | Time: 1045 1628 2390
Size: 2200 | Time: 947 1458 2274
Size: 2300 | Time: 1003 1851 2693
Size: 2400 | Time: 1261 1972 3223
Size: 2500 | Time: 1238 1918 2979
Size: 2600 | Time: 1446 2302 2997
Size: 2700 | Time: 2815 4067 4951
Size: 2800 | Time: 1091 1718 2774
Size: 2900 | Time: 1440 2288 3079
Size: 3000 | Time: 1245 2350 3868
Size: 3100 | Time: 1441 2195 3046
Size: 3200 | Time: 1783 2661 6271
Size: 3300 | Time: 2468 3867 5583
Size: 3400 | Time: 1515 2357 4261
Size: 3500 | Time: 1718 2807 3724
Size: 3600 | Time: 1444 2651 3814
Size: 3700 | Time: 1943 3175 5703
Size: 3800 | Time: 1524 2828 4045
Size: 3900 | Time: 2337 3449 4877
Size: 4000 | Time: 2421 4330 6869
Size: 4100 | Time: 3176 4539 5955
Size: 4200 | Time: 1787 2847 4739
Size: 4300 | Time: 2750 3943 5569
Size: 4400 | Time: 1679 3127 4688
Size: 4500 | Time: 2556 3637 5275
Size: 4600 | Time: 2199 3710 5740
Size: 4700 | Time: 2179 3451 4888
Size: 4800 | Time: 2360 3526 5918
Size: 4900 | Time: 2185 3704 5056
Size: 5000 | Time: 2293 3965 5455
Size: 5100 | Time: 2241 4845 6410
Size: 5200 | Time: 2953 5227 7747
Size: 5300 | Time: 4293 6555 10855
Size: 5400 | Time: 3088 5286 7246
Size: 5500 | Time: 2020 3566 5117
Size: 5600 | Time: 2099 3515 5005
Size: 5700 | Time: 2352 3736 5458
Size: 5800 | Time: 2033 3673 5166
Size: 5900 | Time: 2265 3552 5181
Size: 6000 | Time: 2331 3649 5322
Size: 6100 | Time: 2243 3836 5453
Size: 6200 | Time: 2584 3989 5686
Size: 6300 | Time: 2381 3732 5431
Size: 6400 | Time: 2232 3708 5305
Size: 6500 | Time: 2641 4095 5852
Size: 6600 | Time: 2587 4005 5710
Size: 6700 | Time: 2417 3852 5634
Size: 6800 | Time: 2411 3958 5700
Size: 6900 | Time: 2515 4025 5734
Size: 7000 | Time: 2575 4080 5962
Size: 7100 | Time: 2654 4236 6111
Size: 7200 | Time: 3503 5061 7425
Size: 7300 | Time: 3559 5733 7692
Size: 7400 | Time: 2775 4561 6597
Size: 7500 | Time: 3198 5097 7385
Size: 7600 | Time: 3071 5020 7689
Size: 7700 | Time: 3078 5162 7749
Size: 7800 | Time: 3566 5889 8433
Size: 7900 | Time: 3368 5511 7937
Size: 8000 | Time: 3120 5448 8115
Size: 8100 | Time: 3450 5721 8437
Size: 8200 | Time: 3393 5692 8238
Size: 8300 | Time: 4158 6572 9226
Size: 8400 | Time: 3356 5659 8336
Size: 8500 | Time: 3625 5957 8801
Size: 8600 | Time: 3546 6039 8840
Size: 8700 | Time: 3490 5964 9212
Size: 8800 | Time: 3547 5919 8655
Size: 8900 | Time: 3649 6044 8988
Size: 9000 | Time: 3847 6358 9217
Size: 9100 | Time: 3671 6129 8997
Size: 9200 | Time: 3784 6654 9493
Size: 9300 | Time: 3665 6069 8865
Size: 9400 | Time: 3786 6205 9022
Size: 9500 | Time: 3910 6295 9090
Size: 9600 | Time: 3931 6578 10019
Size: 9700 | Time: 3900 6516 9495
Size: 9800 | Time: 3911 6307 9178
Size: 9900 | Time: 3979 6577 9630
Size: 10000 | Time: 4136 6891 9982
