Size: 500 | Time: 464 897 1377
Size: 600 | Time: 801 1307 1901
Size: 700 | Time: 716 1321 1927
Size: 800 | Time: 755 1497 2458
Size: 900 | Time: 826 1635 2440
Size: 1000 | Time: 873 1659 2470
Size: 1100 | Time: 1389 2262 3146
Size: 1200 | Time: 1316 2260 3237
Size: 1300 | Time: 1171 2200 3270
Size: 1400 | Time: 1304 2423 3616
Size: 1500 | Time: 1699 3212 4531
Size: 1600 | Time: 1864 3891 5957
Size: 1700 | Time: 3370 5616 8003
Size: 1800 | Time: 4325 6427 8080
Size: 1900 | Time: 2119 3858 5605
Size: 2000 | Time: 4256 8117 10921
Size: 2100 | Time: 5515 8320 10810
Size: 2200 | Time: 3351 6668 9242
Size: 2300 | Time: 2977 6299 8858
Size: 2400 | Time: 2470 5989 10781
Size: 2500 | Time: 4487 7696 11318
Size: 2600 | Time: 5205 10491 12887
Size: 2700 | Time: 2900 5522 8591
Size: 2800 | Time: 2617 5322 8329
Size: 2900 | Time: 2918 5779 8675
Size: 3000 | Time: 3376 6286 9080
Size: 3100 | Time: 3236 6557 10143
Size: 3200 | Time: 7295 10240 14818
Size: 3300 | Time: 3432 6798 9958
Size: 3400 | Time: 3424 6733 9913
Size: 3500 | Time: 4041 7615 10988
Size: 3600 | Time: 3428 6582 9926
Size: 3700 | Time: 3507 6861 10269
Size: 3800 | Time: 3617 7877 11500
Size: 3900 | Time: 3822 7199 10703
Size: 4000 | Time: 3752 7752 11423
Size: 4100 | Time: 4203 7803 13028
Size: 4200 | Time: 4758 8997 12832
Size: 4300 | Time: 4165 7922 11663
Size: 4400 | Time: 4098 7829 11687
Size: 4500 | Time: 4217 8579 12690
Size: 4600 | Time: 4330 8388 12480
Size: 4700 | Time: 4489 8577 12870
Size: 4800 | Time: 4705 8941 14019
Size: 4900 | Time: 4667 9359 13859
Size: 5000 | Time: 4802 9133 13643
Size: 5100 | Time: 5267 9795 14810
Size: 5200 | Time: 4986 9467 13969
Size: 5300 | Time: 5013 9412 14150
Size: 5400 | Time: 5107 9695 15457
Size: 5500 | Time: 5339 9996 14790
Size: 5600 | Time: 5321 10179 15074
Size: 5700 | Time: 6200 11407 16929
Size: 5800 | Time: 5533 10540 15752
Size: 5900 | Time: 5409 10419 16674
Size: 6000 | Time: 5845 10990 16401
Size: 6100 | Time: 5650 10870 16448
Size: 6200 | Time: 6773 12567 18410
Size: 6300 | Time: 6091 11560 17192
Size: 6400 | Time: 6593 13225 19227
Size: 6500 | Time: 6422 11999 17895
Size: 6600 | Time: 6344 12008 18534
Size: 6700 | Time: 7063 12797 18946
Size: 6800 | Time: 6484 12371 18394
Size: 6900 | Time: 7634 13658 19998
Size: 7000 | Time: 6796 12695 19723
Size: 7100 | Time: 7690 14190 20504
Size: 7200 | Time: 6952 13107 19487
Size: 7300 | Time: 6884 14377 21265
Size: 7400 | Time: 7129 13634 20156
Size: 7500 | Time: 8031 14938 21676
Size: 7600 | Time: 12851 24723 32718
Size: 7700 | Time: 7515 14341 21221
Size: 7800 | Time: 7439 14459 22122
Size: 7900 | Time: 7867 14674 22009
Size: 8000 | Time: 7750 14723 22986
Size: 8100 | Time: 8242 15066 22294
Size: 8200 | Time: 8041 15842 26545
Size: 8300 | Time: 8054 15367 22837
Size: 8400 | Time: 9077 16588 24211
Size: 8500 | Time: 8068 15572 23258
Size: 8600 | Time: 9096 16955 24653
Size: 8700 | Time: 8511 16133 24843
Size: 8800 | Time: 8916 16756 24868
Size: 8900 | Time: 8792 17725 26006
Size: 9000 | Time: 9455 17995 27317
Size: 9100 | Time: 9784 17914 26027
Size: 9200 | Time: 9026 18527 27111
Size: 9300 | Time: 9443 17758 26161
Size: 9400 | Time: 10026 18641 27302
Size: 9500 | Time: 9072 17523 26907
Size: 9600 | Time: 9500 17771 26562
Size: 9700 | Time: 9947 18682 27573
Size: 9800 | Time: 9465 17949 27313
Size: 9900 | Time: 10238 18882 29094
Size: 10000 | Time: 10319 20152 29857
