Size: 500 | Time: 232 313 423
Size: 600 | Time: 243 344 450
Size: 700 | Time: 319 441 577
Size: 800 | Time: 392 585 785
Size: 900 | Time: 514 695 846
Size: 1000 | Time: 369 526 699
Size: 1100 | Time: 532 710 949
Size: 1200 | Time: 556 817 1024
Size: 1300 | Time: 537 754 970
Size: 1400 | Time: 604 925 1166
Size: 1500 | Time: 762 1025 1321
Size: 1600 | Time: 606 877 1216
Size: 1700 | Time: 612 914 1299
Size: 1800 | Time: 761 1075 1409
Size: 1900 | Time: 711 1032 1388
Size: 2000 | Time: 898 1245 1617
Size: 2100 | Time: 812 1171 1608
Size: 2200 | Time: 1091 1643 2154
Size: 2300 | Time: 1150 1742 2201
Size: 2400 | Time: 985 1398 1861
Size: 2500 | Time: 1136 1584 2047
Size: 2600 | Time: 1125 1696 2410
Size: 2700 | Time: 1779 2331 2948
Size: 2800 | Time: 1489 2035 2633
Size: 2900 | Time: 2119 3309 4975
Size: 3000 | Time: 1865 2716 3737
Size: 3100 | Time: 2133 2778 3638
Size: 3200 | Time: 1752 2376 3041
Size: 3300 | Time: 1244 1866 2671
Size: 3400 | Time: 1978 2610 3326
Size: 3500 | Time: 1343 2025 2758
Size: 3600 | Time: 1413 2078 2797
Size: 3700 | Time: 1427 2097 2909
Size: 3800 | Time: 1540 2242 3034
Size: 3900 | Time: 1558 2286 3093
Size: 4000 | Time: 1621 2384 3234
Size: 4100 | Time: 1707 2496 3352
Size: 4200 | Time: 1725 2515 3649
Size: 4300 | Time: 1849 2771 3689
Size: 4400 | Time: 1978 3321 4276
Size: 4500 | Time: 2298 3309 4449
Size: 4600 | Time: 2107 3050 4063
Size: 4700 | Time: 3025 4600 6257
Size: 4800 | Time: 10505 13383 16239
Size: 4900 | Time: 3931 5095 6322
Size: 5000 | Time: 3291 4933 6152
Size: 5100 | Time: 3840 5637 7261
Size: 5200 | Time: 2962 4358 6563
Size: 5300 | Time: 6298 7570 9254
Size: 5400 | Time: 4212 5371 7001
Size: 5500 | Time: 2843 4026 5633
Size: 5600 | Time: 4828 6340 8594
Size: 5700 | Time: 5559 7854 9986
Size: 5800 | Time: 3777 5472 6794
Size: 5900 | Time: 3522 5928 7844
Size: 6000 | Time: 3155 4463 5808
Size: 6100 | Time: 3022 4693 5940
Size: 6200 | Time: 3445 5127 6669
Size: 6300 | Time: 4148 6048 8079
Size: 6400 | Time: 3386 5108 7117
Size: 6500 | Time: 2964 4306 6948
Size: 6600 | Time: 3861 6394 9435
Size: 6700 | Time: 5293 7314 10265
Size: 6800 | Time: 3171 4771 6338
Size: 6900 | Time: 3577 5811 7809
Size: 7000 | Time: 3071 4536 6437
Size: 7100 | Time: 4385 6478 8277
Size: 7200 | Time: 3092 4738 6410
Size: 7300 | Time: 3293 4944 6918
Size: 7400 | Time: 4751 6381 8137
Size: 7500 | Time: 4219 5883 7625
Size: 7600 | Time: 3242 5273 7536
Size: 7700 | Time: 3624 5259 7362
Size: 7800 | Time: 3397 4961 6846
Size: 7900 | Time: 3465 5105 6893
Size: 8000 | Time: 3461 5195 6968
Size: 8100 | Time: 3428 5081 6846
Size: 8200 | Time: 3454 5734 7573
Size: 8300 | Time: 3704 5380 7321
Size: 8400 | Time: 3866 5584 7702
Size: 8500 | Time: 3769 5699 7688
Size: 8600 | Time: 3947 5781 7894
Size: 8700 | Time: 4098 5968 8465
Size: 8800 | Time: 4294 6128 8351
Size: 8900 | Time: 4073 6020 8038
Size: 9000 | Time: 3974 5801 7812
Size: 9100 | Time: 4175 6357 8472
Size: 9200 | Time: 4049 5925 8109
Size: 9300 | Time: 5776 7936 10353
Size: 9400 | Time: 4275 6202 8344
Size: 9500 | Time: 4268 6273 8335
Size: 9600 | Time: 4444 6463 8674
Size: 9700 | Time: 4554 6621 9625
Size: 9800 | Time: 4627 6761 9421
Size: 9900 | Time: 4758 7114 9502
Size: 10000 | Time: 4582 6747 8957
