Size: 500 | Time: 381 212 227
Size: 600 | Time: 297 150 161
Size: 700 | Time: 256 159 180
Size: 800 | Time: 298 180 207
Size: 900 | Time: 310 159 176
Size: 1000 | Time: 329 229 253
Size: 1100 | Time: 357 239 267
Size: 1200 | Time: 389 256 293
Size: 1300 | Time: 450 264 295
Size: 1400 | Time: 443 280 306
Size: 1500 | Time: 485 292 338
Size: 1600 | Time: 519 346 356
Size: 1700 | Time: 540 328 378
Size: 1800 | Time: 585 345 684
Size: 1900 | Time: 1309 677 581
Size: 2000 | Time: 818 537 549
Size: 2100 | Time: 752 514 555
Size: 2200 | Time: 803 521 584
Size: 2300 | Time: 810 548 665
Size: 2400 | Time: 832 540 864
Size: 2500 | Time: 853 634 621
Size: 2600 | Time: 851 618 1371
Size: 2700 | Time: 1413 974 1088
Size: 2800 | Time: 1126 656 706
Size: 2900 | Time: 1042 663 711
Size: 3000 | Time: 1012 627 708
Size: 3100 | Time: 1381 646 761
Size: 3200 | Time: 1072 817 767
Size: 3300 | Time: 1148 775 911
Size: 3400 | Time: 1193 798 894
Size: 3500 | Time: 1242 744 829
Size: 3600 | Time: 1210 878 887
Size: 3700 | Time: 1359 853 992
Size: 3800 | Time: 1643 942 1436
Size: 3900 | Time: 1710 1035 1147
Size: 4000 | Time: 1491 1039 1129
Size: 4100 | Time: 1454 994 1449
Size: 4200 | Time: 1973 1011 1212
Size: 4300 | Time: 1575 1050 1201
Size: 4400 | Time: 1630 1042 1219
Size: 4500 | Time: 1608 1066 1275
Size: 4600 | Time: 1884 1580 1405
Size: 4700 | Time: 1726 1123 1430
Size: 4800 | Time: 1679 1142 1305
Size: 4900 | Time: 1720 1125 1284
Size: 5000 | Time: 1780 1223 1409
Size: 5100 | Time: 1869 1233 1329
Size: 5200 | Time: 1800 1175 1366
Size: 5300 | Time: 1845 1184 1578
Size: 5400 | Time: 2021 1277 2319
Size: 5500 | Time: 2098 1254 1448
Size: 5600 | Time: 1940 1226 1452
Size: 5700 | Time: 2046 1447 1670
Size: 5800 | Time: 2037 1272 1493
Size: 5900 | Time: 2082 1316 1510
Size: 6000 | Time: 2452 1333 1824
Size: 6100 | Time: 2450 1420 1612
Size: 6200 | Time: 2297 1365 1605
Size: 6300 | Time: 2455 1630 1810
Size: 6400 | Time: 2765 1499 3429
Size: 6500 | Time: 3254 3339 3072
Size: 6600 | Time: 3898 1593 2153
Size: 6700 | Time: 3080 2366 2864
Size: 6800 | Time: 3249 1907 2447
Size: 6900 | Time: 3497 2436 2587
Size: 7000 | Time: 2665 1556 1823
Size: 7100 | Time: 2596 2064 1859
Size: 7200 | Time: 3007 1611 1904
Size: 7300 | Time: 2757 1743 2033
Size: 7400 | Time: 3063 2160 2248
Size: 7500 | Time: 2964 2249 2240
Size: 7600 | Time: 3882 3729 3695
Size: 7700 | Time: 3225 2417 2662
Size: 7800 | Time: 3358 2169 4320
Size: 7900 | Time: 4685 2960 3133
Size: 8000 | Time: 3386 2199 2571
Size: 8100 | Time: 3555 3549 4448
Size: 8200 | Time: 4905 4340 3635
Size: 8300 | Time: 3427 2451 2572
Size: 8400 | Time: 3409 4040 2593
Size: 8500 | Time: 3595 2415 2699
Size: 8600 | Time: 3731 2653 2848
Size: 8700 | Time: 4055 2386 2712
Size: 8800 | Time: 4494 2816 2660
Size: 8900 | Time: 3539 2364 2705
Size: 9000 | Time: 4297 2470 2749
Size: 9100 | Time: 3942 2806 3532
Size: 9200 | Time: 3944 2414 2768
Size: 9300 | Time: 3751 2631 2930
Size: 9400 | Time: 4042 2526 3020
Size: 9500 | Time: 4360 2425 2851
Size: 9600 | Time: 3941 2621 2959
Size: 9700 | Time: 3786 2465 2876
Size: 9800 | Time: 3937 2920 3078
Size: 9900 | Time: 4231 2591 3619
Size: 10000 | Time: 4274 2542 2925
